"Record.ID","e","word","accuracy"
"BUBA084","eng","wheelchair",1
"BUBA084","eng","camel",1
"BUBA084","eng","mask",0
"BUBA084","eng","pretzel",1
"BUBA084","eng","bench",1
"BUBA084","eng","raquet",0
"BUBA084","eng","snail",0
"BUBA084","eng","volcano",1
"BUBA084","eng","seahorse",1
"BUBA084","eng","dart",1
"BUBA084","eng","canoe",0
"BUBA084","eng","globe",0
"BUBA084","eng","wreath",1
"BUBA084","eng","beaver",1
"BUBA084","eng","harmonica",1
"BUBA084","eng","rhinoceros",1
"BUBA084","eng","acorn",0
"BUBA084","eng","igloo",0
"BUBA084","eng","stilts",0
"BUBA084","eng","dominos",1
"BUBA084","eng","cactus",1
"BUBA084","eng","escalator",1
"BUBA084","eng","harp",1
"BUBA084","eng","hammock",0
"BUBA084","eng","knocker",1
"BUBA084","eng","pelican",1
"BUBA084","eng","stethoscope",1
"BUBA084","eng","pyramid",1
"BUBA084","eng","muzzle",0
"BUBA084","eng","unicorn",1
"BUBA084","eng","funnel",1
"BUBA084","eng","accordion",1
"BUBA084","eng","noose",1
"BUBA084","eng","asparagus",1
"BUBA084","eng","compass",1
"BUBA084","eng","latch",1
"BUBA084","eng","tripod",1
"BUBA084","eng","scroll",0
"BUBA084","eng","tongs",1
"BUBA084","eng","sphinx",1
"BUBA084","eng","yoke",0
"BUBA084","eng","trellis",0
"BUBA084","eng","palette",0
"BUBA084","eng","protractor",0
"BUBA084","eng","abacus",1
"BUBA085","eng","bed",1
"BUBA085","eng","tree",1
"BUBA085","eng","pencil",1
"BUBA085","eng","house",1
"BUBA085","eng","whistle",1
"BUBA085","eng","scissors",1
"BUBA085","eng","comb",1
"BUBA085","eng","flower",1
"BUBA085","eng","saw",1
"BUBA085","eng","toothbrush",1
"BUBA085","eng","helicopter",1
"BUBA085","eng","broom",1
"BUBA085","eng","octopus",1
"BUBA085","eng","mushroom",1
"BUBA085","eng","hanger",1
"BUBA085","eng","wheelchair",1
"BUBA085","eng","camel",1
"BUBA085","eng","mask",1
"BUBA085","eng","pretzel",1
"BUBA085","eng","bench",1
"BUBA085","eng","raquet",1
"BUBA085","eng","snail",1
"BUBA085","eng","volcano",1
"BUBA085","eng","seahorse",1
"BUBA085","eng","dart",1
"BUBA085","eng","canoe",1
"BUBA085","eng","globe",1
"BUBA085","eng","wreath",1
"BUBA085","eng","beaver",0
"BUBA085","eng","harmonica",1
"BUBA085","eng","rhinoceros",1
"BUBA085","eng","acorn",1
"BUBA085","eng","igloo",1
"BUBA085","eng","stilts",0
"BUBA085","eng","dominos",1
"BUBA085","eng","cactus",1
"BUBA085","eng","escalator",1
"BUBA085","eng","harp",1
"BUBA085","eng","hammock",1
"BUBA085","eng","knocker",1
"BUBA085","eng","pelican",1
"BUBA085","eng","stethoscope",1
"BUBA085","eng","pyramid",1
"BUBA085","eng","muzzle",1
"BUBA085","eng","unicorn",1
"BUBA085","eng","funnel",1
"BUBA085","eng","accordion",0
"BUBA085","eng","noose",1
"BUBA085","eng","asparagus",1
"BUBA085","eng","compass",1
"BUBA085","eng","latch",0
"BUBA085","eng","tripod",1
"BUBA085","eng","scroll",1
"BUBA085","eng","tongs",1
"BUBA085","eng","sphinx",1
"BUBA085","eng","yoke",1
"BUBA085","eng","trellis",1
"BUBA085","eng","palette",1
"BUBA085","eng","protractor",0
"BUBA085","eng","abacus",1
"BUBA089","eng","bed",1
"BUBA089","eng","tree",0
"BUBA089","eng","pencil",1
"BUBA089","eng","house",1
"BUBA089","eng","whistle",0
"BUBA089","eng","scissors",1
"BUBA089","eng","comb",0
"BUBA089","eng","flower",0
"BUBA089","eng","saw",1
"BUBA089","eng","toothbrush",0
"BUBA089","eng","helicopter",0
